ID,Authors,Year,Journal,Title,Abstract,Keywords,Decision1,Decision2,label
236,Burzagli,2015,Studies in health technology and informatics,Open Ambient Intelligence Environments,"The present impact of ambient intelligence concepts in eInclusion is first briefly reviewed. Suggestions and examples of how ambient intelligent environments should be specified, designed and used to favour independent living of people with activity limitations are presented.", *Artificial Intelligence; Expert Systems/*instrumentation; Humans; *Self-Help Devices; *User-Computer Interface,-2,,
237,Parrott,2015,Systematic reviews,Metacognition and evidence analysis instruction: an educational framework and practical experience,"The role of metacognitive skills in the evidence analysis process has received little attention in the research literature. While the steps of the evidence analysis process are well defined, the role of higher-level cognitive operations (metacognitive strategies) in integrating the steps of the process is not well understood. In part, this is because it is not clear where and how metacognition is implicated in the evidence analysis process nor how these skills might be taught. The purposes of this paper are to (a) suggest a model for identifying critical thinking and metacognitive skills in evidence analysis instruction grounded in current educational theory and research and (b) demonstrate how freely available systematic review/meta-analysis tools can be used to focus on higher-order metacognitive skills, while providing a framework for addressing common student weaknesses. The final goal of this paper is to provide an instructional framework that can generate critique and elaboration while providing the conceptual basis and rationale for future research agendas on this topic."," *Data Mining; Humans; Meta-Analysis as Topic; *Metacognition; Models, Biological; *Models, Educational; Research/*education; Review Literature as Topic; Statistics as Topic/*education; Teaching/*methods; *Thinking",-2,,
238,Hartling,2015,Journal of clinical epidemiology,A taxonomy of rapid reviews links report types and methods to specific decision-making contexts,"OBJECTIVES: Describe characteristics of rapid reviews and examine the impact of methodological variations on their reliability and validity. STUDY DESIGN AND SETTING: We conducted a literature review and interviews with organizations that produce rapid reviews or related products to identify methods, guidance, empiric evidence, and current practices. RESULTS: We identified 36 rapid products from 20 organizations (production time, 5 minutes to 8 months). Methods differed from systematic reviews at all stages. As time frames increased, methods became more rigorous; however, restrictions on database searching, inclusion criteria, data extracted, and independent dual review remained. We categorized rapid products based on extent of synthesis. ""Inventories"" list what evidence is available. ""Rapid responses"" present best available evidence with no formal synthesis. ""Rapid reviews"" synthesize the quality of and findings from the evidence. ""Automated approaches"" generate meta-analyses in response to user-defined queries. Rapid products rely on a close relationship with end users and support specific decisions in an identified time frame. Limited empiric evidence exists comparing rapid and systematic reviews. CONCLUSIONS: Rapid products have tremendous methodological variation; categorization based on time frame or type of synthesis reveals patterns. The similarity across rapid products lies in the close relationship with the end user to meet time-sensitive decision-making needs.", *Classification; Data Collection/statistics & numerical data; *Decision Making; Humans; Reproducibility of Results; *Review Literature as Topic; Automation; Interviews; Methodology; Rapid reviews; Stakeholders; Systematic reviews,2,,
239,Peek,2015,Artificial intelligence in medicine,Thirty years of artificial intelligence in medicine (AIME) conferences: A review of research themes,"BACKGROUND: Over the past 30 years, the international conference on Artificial Intelligence in MEdicine (AIME) has been organized at different venues across Europe every 2 years, establishing a forum for scientific exchange and creating an active research community. The Artificial Intelligence in Medicine journal has published theme issues with extended versions of selected AIME papers since 1998. OBJECTIVES: To review the history of AIME conferences, investigate its impact on the wider research field, and identify challenges for its future. METHODS: We analyzed a total of 122 session titles to create a taxonomy of research themes and topics. We classified all 734 AIME conference papers published between 1985 and 2013 with this taxonomy. We also analyzed the citations to these conference papers and to 55 special issue papers. RESULTS: We identified 30 research topics across 12 themes. AIME was dominated by knowledge engineering research in its first decade, while machine learning and data mining prevailed thereafter. Together these two themes have contributed about 51% of all papers. There have been eight AIME papers that were cited at least 10 times per year since their publication. CONCLUSIONS: There has been a major shift from knowledge-based to data-driven methods while the interest for other research themes such as uncertainty management, image and signal processing, and natural language processing has been stable since the early 1990s. AIME papers relating to guidelines and protocols are among the most highly cited."," Artificial Intelligence/*statistics & numerical data; Congresses as Topic/*statistics & numerical data; Data Mining/statistics & numerical data; Europe; Humans; Image Processing, Computer-Assisted/instrumentation; Machine Learning/statistics & numerical data; Medicine; Signal Processing, Computer-Assisted/instrumentation; Uncertainty; Artificial Intelligence in Medicine; History of science; Literature review",-2,,
240,Sittig,2015,Studies in health technology and informatics,Developing an Open-Source Bibliometric Ranking Website Using Google Scholar Citation Profiles for Researchers in the Field of Biomedical Informatics,"We developed the Biomedical Informatics Researchers ranking website (rank.informatics-review.com) to overcome many of the limitations of previous scientific productivity ranking strategies. The website is composed of four key components that work together to create an automatically updating ranking website: (1) list of biomedical informatics researchers, (2) Google Scholar scraper, (3) display page, and (4) updater. The site has been useful to other groups in evaluating researchers, such as tenure and promotions committees in interpreting the various citation statistics reported by candidates. Creation of the Biomedical Informatics Researchers ranking website highlights the vast differences in scholarly productivity among members of the biomedical informatics research community.", *Bibliometrics; Biomedical Research; Internet/*organization & administration; *Journal Impact Factor; Medical Informatics/*organization & administration; Search Engine/*methods; *Software; User-Computer Interface,1,,
241,Khodambashi,2015,Studies in health technology and informatics,Lessons Learnt from Evaluation of Computer Interpretable Clinical Guidelines Tools and Methods: Literature Review,"Representation of clinical guidelines in a computer interpretable format is an active area of research. Various methods and tools have been proposed which have been evaluated based on different evaluation criteria. The evaluation results in the literature and their lessons learnt can be a valuable learning resource in order to redesign and improve the tools. Therefore, this research investigates the lessons learnt from the evaluation studies. Broad search in literature together with a purposeful snowball method were performed to identify the related papers that report any type of evaluation or comparison. We reviewed and analysed the lessons learnt from the evaluation results and classified them into 17 themes which reflect the suggestion concerns. The results indicate that the lessons learnt are more focused on tool functionalities, integration, sharing and maintenance domain. We provide suggestions for the area which had less attention.", Humans; *Natural Language Processing; *Practice Guidelines as Topic,1,,
242,Khodambashi,2015,Studies in health technology and informatics,Computer-Interpretable Clinical Guidelines: A Review and Analysis of Evaluation Criteria for Authoring Methods,"There are a variety of authoring tools and methods for producing computer-interpretable clinical guideline (CIG). This work is a review of the evaluation of tools and methods currently in use to author CIGs. The aim of this paper is to present the results of a literature review on the evaluation criteria. Both controlled database search and a subsequent snowballing were used to identify relevant literature. The evaluation criteria and evaluation methods of CIG-related themes were manually identified in the found literature. Based on the 32 relevant papers found, 68 evaluation criteria were identified which were then classified into ten themes. We identified the most and least frequently mentioned areas of concern in evaluation which indicate areas that have been neglected in system evaluation.", Humans; *Natural Language Processing; *Practice Guidelines as Topic/standards,-1,,
243,Kury,2015,Studies in health technology and informatics,Identifying Repetitive Institutional Review Board Stipulations by Natural Language Processing and Network Analysis,"The corrections (""stipulations"") to a proposed research study protocol produced by an institutional review board (IRB) can often be repetitive across many studies; however, there is no standard set of stipulations that could be used, for example, by researchers wishing to anticipate and correct problems in their research proposals prior to submitting to an IRB. The objective of the research was to computationally identify the most repetitive types of stipulations generated in the course of IRB deliberations. The text of each stipulation was normalized using the natural language processing techniques. An undirected weighted network was constructed in which each stipulation was represented by a node, and each link, if present, had weight corresponding to the TF-IDF Cosine Similarity of the stipulations. Network analysis software was then used to identify clusters in the network representing similar stipulations. The final results were correlated with additional data to produce further insights about the IRB workflow. From a corpus of 18,582 stipulations we identified 31 types of repetitive stipulations. Those types accounted for 3,870 stipulations (20.8% of the corpus) produced for 697 (88.7%) of all protocols in 392 (also 88.7%) of all the CNS IRB meetings with stipulations entered in our data source. A notable peroportion of the corrections produced by the IRB can be considered highly repetitive. Our shareable method relied on a minimal manual analysis and provides an intuitive exploration with theoretically unbounded granularity. Finer granularity allowed for the insight that is anticipated to prevent the need for identifying the IRB panel expertise or any human supervision."," Biomedical Research/classification/*statistics & numerical data; Data Mining/*methods; Documentation/*statistics & numerical data; Ethics Committees, Research/*statistics & numerical data; Machine Learning; *Natural Language Processing; Research Design/statistics & numerical data; *Vocabulary, Controlled",-2,,
244,Balas,2015,Studies in health technology and informatics,"Big Data Clinical Research: Validity, Ethics, and Regulation","Electronic Health Records (EHR) promise improvement for patient care and also offer great value for biomedical research including clinical, public health, and health services research. Unfortunately, the full potential of EHR big data research has remained largely unrealized. The purpose of this study was to identify rate limiting factors, and develop recommendations to better balance unrestricted extramural EHR access with legitimate safeguarding of EHR data in retrospective research. By exploring primary, secondary, and tertiary sources, this review identifies external constraints and provides a comparative analysis of social influencers in retrospective EHR-based research. Results indicate that EHRs have the advantage of reflecting the reality of patient care but also show a frequency of between 4.3-86% of incomplete and inaccurate data in various fields. The rapid spread of alternative analytics for health data challenges traditional interpretations of confidentiality protections. A confusing multiplicity of controls creates barriers to big data EHR research. More research on the use of EHR big data is likely to improve accuracy and validity. Information governance and research approval processes should be simplified. Comprehensive regulatory policies that do not exclusively cover health care entities, are needed. Finally, new computing safeguards are needed to address public concerns, like research access only to aggregate data and not to individually identifiable information.", Confidentiality/*ethics/*legislation & jurisprudence; Datasets as Topic/*ethics/*legislation & jurisprudence; Electronic Health Records/*ethics/*legislation & jurisprudence/statistics &; numerical data; Government Regulation; Health Services Research/ethics/legislation & jurisprudence; Internationality; Needs Assessment,-2,,
245,Motiwala,2015,Studies in health technology and informatics,Domain Analysis of Integrated Data to Reduce Cost Associated with Liver Disease,"Liver cancer, the fifth most common cancer and second leading cause of cancer-related death among men worldwide, is plagued by not only lack of clinical research, but informatics tools for early detection. Consequently, it presents a major health and cost burden. Among the different types of liver cancer, hepatocellular carcinoma (HCC) is the most common and deadly form, arising from underlying liver disease. Current models for predicting risk of HCC and liver disease are limited to clinical data. A domain analysis of existing research related to screening for HCC and liver disease suggests that metabolic syndrome (MetS) may present oppportunites to detect early signs of liver disease. The purpose of this paper is to (i) provide a domain analysis of the relationship between HCC, liver disease, and metabolic syndrome, (ii) a review of the current disparate sources of data available for MetS diagnosis, and (iii) recommend informatics solutions for the diagnosis of MetS from available administrative (Biometrics, PHA, claims) and laboratory data, towards early prediction of liver disease. Our domain analysis and recommendations incorporate best practices to make meaningful use of available data with the goal of reducing cost associated with liver disease."," Carcinoma, Hepatocellular/diagnosis/*economics/epidemiology; Causality; Cost Control/economics/methods; Data Mining/*methods; Early Detection of Cancer/*economics/methods; Electronic Health Records/statistics & numerical data; Health Care Costs/*statistics & numerical data; Humans; Liver Neoplasms/diagnosis/*economics/epidemiology; Metabolic Syndrome/diagnosis/*economics/epidemiology; Prevalence; Risk Assessment/methods; Systems Integration; United States/epidemiology",-2,,
246,Kim,2015,Studies in health technology and informatics,Web-based Self-management Support Interventions for Cancer Survivors: A Systematic Review and Meta-analyses,"Those who are living with cancer as a chronic disease need to self-manage the late and long-term effects of cancer and its treatment. We conducted systematic searches of English-language peer-reviewed publications in PubMed, Cumulative Index for Nursing and Allied Health Literature, Cochrane Central Register of Controlled Trials, and EMBASE between January 2000 and June 2014. We searched for web-based interventions designed to help cancer survivors manage their symptoms and the side effects of cancer treatments, which yielded 37 studies that were systematically reviewed. For the meta-analyses, five articles were selected for fatigue, seven for depression, five for anxiety, and five for overall quality of life. The most popular mode of intervention delivery was ""peer-to-peer access"" in the communicative functions category, followed by ""the use of an enriched information environment"" in the automated functions category. The effectss across all outcome measures were small to moderate compared to standard care. Healthcare providers could use information technologies to support self-management among cancer survivors based on their needs across the cancer care continuum.", Health Information Systems/*statistics & numerical data; Health Promotion/statistics & numerical data; Humans; Internet/*statistics & numerical data; Neoplasms/diagnosis/*epidemiology/*therapy; Prevalence; Self Care/*statistics & numerical data; Survivors/*statistics & numerical data,-2,,
247,Virginio,2015,Studies in health technology and informatics,Identification of Patient Safety Risks Associated with Electronic Health Records: A Software Quality Perspective,"Although Electronic Health Records (EHR) can offer benefits to the health care process, there is a growing body of evidence that these systems can also incur risks to patient safety when developed or used improperly. This work is a literature review to identify these risks from a software quality perspective. Therefore, the risks were classified based on the ISO/IEC 25010 software quality model. The risks identified were related mainly to the characteristics of ""functional suitability"" (i.e., software bugs) and ""usability"" (i.e., interface prone to user error). This work elucidates the fact that EHR quality problems can adversely affect patient safety, resulting in errors such as incorrect patient identification, incorrect calculation of medication dosages, and lack of access to patient data. Therefore, the risks presented here provide the basis for developers and EHR regulating bodies to pay attention to the quality aspects of these systems that can result in patient harm.", *Data Accuracy; Data Mining/*statistics & numerical data; Electronic Health Records/*statistics & numerical data; Humans; Meaningful Use/*statistics & numerical data; Medical Errors/prevention & control/*statistics & numerical data; Patient Safety/*statistics & numerical data,-2,,
248,Gu,2015,Studies in health technology and informatics,Automatic Detection of Skin and Subcutaneous Tissue Infections from Primary Care Electronic Medical Records,"INTRODUCTION: Skin and subcutaneous tissue infections (SSTI) are common conditions that cause avoidable hospitalisation in New Zealand. As part of a program to improve the management of SSTI in primary care, electronic medical records (EMR) of four Auckland general practices were analysed to identify SSTI occurrences in the last three years. METHODS: An ontology for SSTI risks, manifestation and treatment was created based on literature and guidelines. An SSTI identification algorithm was developed examining EMR data for skin swab tests, diagnoses (READ codes) and textual clinical notes. RESULTS: High occurrence and recurrence rates in those aged 20 or younger were found. Due to low usage of READ coding and laboratory tests, 65% of SSTI occurrences were identified by notes. However, 91% of all identified SSTI occurrences were appropriately treated with oral/topical antibiotics according to prescription records in the EMR. The F1 score of the analysis algorithm is 0.76 using manual review as gold standard. DISCUSSION AND CONCLUSION: The SSTI identification algorithm shows a reasonable accuracy suggesting the feasibility of automatic detecting SSTI occurrences using clinical data that are routinely collected in healthcare delivery."," Data Mining/methods; Diagnosis, Computer-Assisted/*methods; Electronic Health Records/*classification; Humans; *Machine Learning; *Natural Language Processing; New Zealand; Primary Health Care/*classification; Reproducibility of Results; Sensitivity and Specificity; Skin Diseases, Bacterial/*diagnosis; Subcutaneous Tissue/pathology; Vocabulary, Controlled",,,
249,Duggirala,2016,Journal of the American Medical Informatics Association : JAMIA,Use of data mining at the Food and Drug Administration,"OBJECTIVES: This article summarizes past and current data mining activities at the United States Food and Drug Administration (FDA). TARGET AUDIENCE: We address data miners in all sectors, anyone interested in the safety of products regulated by the FDA (predominantly medical products, food, veterinary products and nutrition, and tobacco products), and those interested in FDA activities. SCOPE: Topics include routine and developmental data mining activities, short descriptions of mined FDA data, advantages and challenges of data mining at the FDA, and future directions of data mining at the FDA."," *Data Mining/statistics & numerical data; Pharmacovigilance; *Product Surveillance, Postmarketing; United States; *United States Food and Drug Administration; data mining; disproportionality analysis",2,,
250,Lardon,2015,Journal of medical Internet research,Adverse Drug Reaction Identification and Extraction in Social Media: A Scoping Review,"BACKGROUND: The underreporting of adverse drug reactions (ADRs) through traditional reporting channels is a limitation in the efficiency of the current pharmacovigilance system. Patients' experiences with drugs that they report on social media represent a new source of data that may have some value in postmarketing safety surveillance. OBJECTIVE: A scoping review was undertaken to explore the breadth of evidence about the use of social media as a new source of knowledge for pharmacovigilance. METHODS: Daubt et al's recommendations for scoping reviews were followed. The research questions were as follows: How can social media be used as a data source for postmarketing drug surveillance? What are the available methods for extracting data? What are the different ways to use these data? We queried PubMed, Embase, and Google Scholar to extract relevant articles that were published before June 2014 and with no lower date limit. Two pairs of reviewers independently screened the selected studies and proposed two themes of review: manual ADR identification (theme 1) and automated ADR extraction from social media (theme 2). Descriptive characteristics were collected from the publications to create a database for themes 1 and 2. RESULTS: Of the 1032 citations from PubMed and Embase, 11 were relevant to the research question. An additional 13 citations were added after further research on the Internet and in reference lists. Themes 1 and 2 explored 11 and 13 articles, respectively. Ways of approaching the use of social media as a pharmacovigilance data source were identified. CONCLUSIONS: This scoping review noted multiple methods for identifying target data, extracting them, and evaluating the quality of medical information from social media. It also showed some remaining gaps in the field. Studies related to the identification theme usually failed to accurately assess the completeness, quality, and reliability of the data that were analyzed from social media. Regarding extraction, no study proposed a generic approach to easily adding a new site or data source. Additional studies are required to precisely determine the role of social media in the pharmacovigilance system.", Drug-Related Side Effects and Adverse Reactions/*diagnosis; Humans; Internet/*statistics & numerical data; Pharmacovigilance; Reproducibility of Results; Social Media/*standards; Internet; Web 2.0; adverse drug reaction; adverse event; scoping review; social media; text mining,-2,,
251,Raja Ikram,2015,International journal of medical informatics,An analysis of application of health informatics in Traditional Medicine: A review of four Traditional Medicine Systems,"OBJECTIVE: This paper shall first investigate the informatics areas and applications of the four Traditional Medicine systems - Traditional Chinese Medicine (TCM), Ayurveda, Traditional Arabic and Islamic Medicine and Traditional Malay Medicine. Then, this paper shall examine the national informatics infrastructure initiatives in the four respective countries that support the Traditional Medicine systems. Challenges of implementing informatics in Traditional Medicine Systems shall also be discussed. METHODS: The literature was sourced from four databases: Ebsco Host, IEEE Explore, Proquest and Google scholar. The search term used was ""Traditional Medicine"", ""informatics"", ""informatics infrastructure"", ""traditional Chinese medicine"", ""Ayurveda"", ""traditional Arabic and Islamic medicine"", and ""traditional malay medicine"". A combination of the search terms above was also executed to enhance the searching process. A search was also conducted in Google to identify miscellaneous books, publications, and organization websites using the same terms. RESULTS: Amongst major advancements in TCM and Ayurveda are bioinformatics, development of Traditional Medicine databases for decision system support, data mining and image processing. Traditional Chinese Medicine differentiates itself from other Traditional Medicine systems with documented ISO Standards to support the standardization of TCM. Informatics applications in Traditional Arabic and Islamic Medicine are mostly ehealth applications that focus more on spiritual healing, Islamic obligations and prophetic traditions. Literature regarding development of health informatics to support Traditional Malay Medicine is still insufficient. Major informatics infrastructure that is common in China and India are automated insurance payment systems for Traditional Medicine treatment. National informatics infrastructure in Middle East and Malaysia mainly cater for modern medicine. Other infrastructure such as telemedicine and hospital information systems focus its implementation in modern medicine or are not implemented and strategized at a national level to support Traditional Medicine. CONCLUSION: Informatics may not be able to address all the emerging areas of Traditional Medicine because the concepts in Traditional Medicine system of medicine are different from modern system, though the aim may be same, i.e., to give relief to the patient. Thus, there is a need to synthesize Traditional Medicine systems and informatics with involvements from modern system of medicine. Future research works may include filling the gaps of informatics areas and integrate national informatics infrastructure with established Traditional Medicine systems."," China; Computational Biology; Databases, Factual; Decision Support Systems, Clinical; Hospital Information Systems; Humans; India; Insurance, Health; Malaysia; *Medical Informatics/economics/methods; *Medicine, Traditional/economics/methods; Middle East; Religion and Medicine; Telemedicine; Ayurveda; Health informatics; Traditional Arabic and Islamic Medicine; Traditional Chinese Medicine; Traditional Malay Medicine; Traditional Medicine",-2,,
252,Sawhney,2015,PloS one,Maximising Acute Kidney Injury Alerts--A Cross-Sectional Comparison with the Clinical Diagnosis,"BACKGROUND: Acute kidney injury (AKI) is serious and widespread across healthcare (1 in 7 hospital admissions) but recognition is often delayed causing avoidable harm. Nationwide automated biochemistry alerts for AKI stages 1-3 have been introduced in England to improve recognition. We explored how these alerts compared with clinical diagnosis in different hospital settings. METHODS: We used a large population cohort of 4464 patients with renal impairment. Each patient had case-note review by a nephrologist, using RIFLE criteria to diagnose AKI and chronic kidney disease (CKD). We identified and staged AKI alerts using the new national NHS England AKI algorithm and compared this with nephrologist diagnosis across hospital settings. RESULTS: Of 4464 patients, 525 had RIFLE AKI, 449 had mild AKI, 2185 had CKD (without AKI) and 1305 were of uncertain chronicity. NHS AKI algorithm criteria alerted for 90.5% of RIFLE AKI, 72.4% of mild AKI, 34.1% of uncertain cases and 14.0% of patients who actually had CKD.The algorithm identified AKI particularly well in intensive care (95.5%) and nephrology (94.6%), but less well on surgical wards (86.4%). Restricting the algorithm to stage 2 and 3 alerts reduced the over-diagnosis of AKI in CKD patients from 14.0% to 2.1%, but missed or delayed alerts in two-thirds of RIFLE AKI patients. CONCLUSION: Automated AKI detection performed well across hospital settings, but was less sensitive on surgical wards. Clinicians should be mindful that restricting alerts to stages 2-3 may identify fewer CKD patients, but including stage 1 provides more sensitive and timely alerting."," Acute Kidney Injury/*diagnosis; Aged; Algorithms; Creatinine/*blood; Critical Care/methods; Cross-Sectional Studies; Diagnosis, Computer-Assisted/*methods; Female; Hospital Mortality; Humans; Male; Renal Insufficiency, Chronic/diagnosis; Scotland; *Severity of Illness Index",-1,,
253,Marchione,2015,International journal of medical informatics,Approaches that use software to support the prevention of pressure ulcer: A systematic review,"CONTEXT: The incidence and costs for pressure ulcer (PU) treatment remain high even though preventive methods are applied. Approaches that use software to support the prevention of PU are presented in the literature to make it more effective. OBJECTIVES: Identify the state of art of the approaches that use software to support the prevention of PUs. METHODS: A systematic literature review was performed to analyze approaches that use software to support the prevention of PU. ACM, IEEE, PubMed, Scopus, CINAHL and Embase databases have been searched with a predetermined search string to identify primary studies. We selected the ones that met the established inclusion criteria. RESULTS: Thirty-six articles met the inclusion criteria. To support prevention, most approaches monitor the patient to provide information about exposure to pressure, temperature level, humidity level and estimated body position in bed providing risk factor intensity charts and intensity maps. The main method to perform patient's monitoring is using sensors installed on the mattress, but recently, alternative methods have been proposed such as electronic sensors and tactile sensory coils. Part of the approaches performs automated management of the risk factors using ventilation tubes and mattresses with porous cells to decrease body's temperature and movable cells to automatically redistribute the pressure over the body. Matters as cost of the approach, patient comfort and hygiene of the monitoring equipment is only briefly discussed in the selected articles. No experiments have been conducted to evidence the approached may reduce PU incidence. DISCUSSION AND CONCLUSION: Currently, approaches that use software to support the prevention of PU provide relevant information to health professionals such as risk factor intensity charts and intensity maps. Some of them can even automatically manage risk factors in a limited way. Yet, the approaches are based on risk factor monitoring methods that require patient's contact with the monitoring equipment. Therefore, some matters need to be considered such as patient's comfort and the hygiene or replacement of the equipment due to the risk of infection. With the emergence of new alternative methods of monitoring, new technologies that do not require contact could be explored by new researches. Randomized Control Trials could also be conducted to verify which approaches are really effective to reduce PU incidence."," Beds; Diagnosis, Computer-Assisted/instrumentation/*methods; Equipment Design; Equipment Failure Analysis; Humans; Manometry/*instrumentation/methods; Monitoring, Physiologic/*instrumentation/methods; Point-of-Care Systems; Pressure Ulcer/*diagnosis/*prevention & control; *Software; Technology Assessment, Biomedical; Bed sores; Pressure ulcers; Prevention; Software; Systematic review; Technology",-1,,
254,Marshall,2016,Journal of the American Medical Informatics Association : JAMIA,RobotReviewer: evaluation of a system for automatically assessing bias in clinical trials,"OBJECTIVE: To develop and evaluate RobotReviewer, a machine learning (ML) system that automatically assesses bias in clinical trials. From a (PDF-formatted) trial report, the system should determine risks of bias for the domains defined by the Cochrane Risk of Bias (RoB) tool, and extract supporting text for these judgments. METHODS: We algorithmically annotated 12,808 trial PDFs using data from the Cochrane Database of Systematic Reviews (CDSR). Trials were labeled as being at low or high/unclear risk of bias for each domain, and sentences were labeled as being informative or not. This dataset was used to train a multi-task ML model. We estimated the accuracy of ML judgments versus humans by comparing trials with two or more independent RoB assessments in the CDSR. Twenty blinded experienced reviewers rated the relevance of supporting text, comparing ML output with equivalent (human-extracted) text from the CDSR. RESULTS: By retrieving the top 3 candidate sentences per document (top3 recall), the best ML text was rated more relevant than text from the CDSR, but not significantly (60.4% ML text rated 'highly relevant' v 56.5% of text from reviews; difference +3.9%, [-3.2% to +10.9%]). Model RoB judgments were less accurate than those from published reviews, though the difference was <10% (overall accuracy 71.0% with ML v 78.3% with CDSR). CONCLUSION: Risk of bias assessment may be automated with reasonable accuracy. Automatically identified text supporting bias assessment is of equal quality to the manually identified text in the CDSR. This technology could substantially reduce reviewer workload and expedite evidence syntheses."," *Algorithms; *Bias; *Clinical Trials as Topic; Data Mining; Databases as Topic; *Machine Learning; Natural Language Processing; Peer Review, Research/*methods; Review Literature as Topic; bias; randomized controlled trials as topic; systematic review",2,,
255,Waffenschmidt,2015,Research synthesis methods,Searches for randomized controlled trials of drugs in MEDLINE and EMBASE using only generic drug names compared with searches applied in current practice in systematic reviews,"BACKGROUND: It is unclear which terms should be included in bibliographic searches for randomized controlled trials (RCTs) of drugs, and identifying relevant drug terms can be extremely laborious. The aim of our analysis was to determine whether a bibliographic search using only the generic drug name produces sufficient results for the generation of informative systematic reviews (SRs). METHODS: We conducted a retrospective analysis of relevant references included in SRs of drugs. We determined the proportion of references identified by a simplified technique consisting of a systematic search for RCTs in MEDLINE and EMBASE via the search interface Ovid and using only the truncated generic drug name in all search fields. We calculated aggregated sensitivity and also evaluated the unidentified references. RESULTS: Forty-eight SRs contained 873 primary publications, of which we found 829 in MEDLINE and 757 in EMBASE (""gold standard""). The simplified search identified 823 of the 829 MEDLINE references (sensitivity 99.3%) and 754 of the 757 EMBASE references (99.6%). Ultimately, only three references could not be found by additional searches. CONCLUSION: Our findings indicate that when searching for RCTs of drugs in MEDLINE and EMBASE, a search using the truncated generic drug name in all fields produces sufficient results."," Data Mining/*methods; Databases, Bibliographic/*statistics & numerical data; Drug Evaluation; Drug Labeling/classification/statistics & numerical data; Drugs, Generic/*classification; MEDLINE/statistics & numerical data; *Natural Language Processing; Randomized Controlled Trials as Topic/*statistics & numerical data; *Review Literature as Topic; Vocabulary, Controlled; comprehensive literature search for SRs; generic drug name; information storage and retrieval; randomized controlled trials as topic; review literature as topic; search strategy",-2,,
256,Carroll,2015,Research synthesis methods,"Quality assessment of qualitative evidence for systematic review and synthesis: Is it meaningful, and if so, how should it be performed?","The critical appraisal and quality assessment of primary research are key stages in systematic review and evidence synthesis. These processes are driven by the need to determine how far the primary research evidence, singly and collectively, should inform findings and, potentially, practice recommendations. Quality assessment of primary qualitative research remains a contested area. This article reviews recent developments in the field charting a perceptible shift from whether such quality assessment should be conducted to how it might be performed. It discusses the criteria that are used in the assessment of quality and how the findings of the process are used in synthesis. It argues that recent research indicates that sensitivity analysis offers one potentially useful means for advancing this controversial issue."," *Data Accuracy; *Data Interpretation, Statistical; Data Mining/*standards; Evidence-Based Medicine/standards; *Meta-Analysis as Topic; Quality Control; *Research Design; *Review Literature as Topic; critical appraisal; qualitative evidence synthesis; quality assessment; systematic review",-2,,
257,Bayliss,2015,Research synthesis methods,Information retrieval for ecological syntheses,"Research syntheses are increasingly being conducted within the fields of ecology and environmental management. Information retrieval is crucial in any synthesis in identifying data for inclusion whilst potentially reducing biases in the dataset gathered, yet the nature of ecological information provides several challenges when compared with medicine that should be considered when planning and undertaking searches. We present ten recommendations for anyone considering undertaking information retrieval for ecological research syntheses that highlight the main differences with medicine and, if adopted, may help reduce biases in the dataset retrieved, increase search efficiency and improve reporting standards. They are as follows: (1) plan for information retrieval at an early stage, (2) identify and use sources of help, (3) clearly define the question to be addressed, (4) ensure that provisions for managing, recording and reporting the search are in place, (5) select an appropriate search type, (6) identify sources to be used, (7) identify limitations of the sources, (8) ensure that the search vocabulary is appropriate, (9) identify limits and filters that can help direct the search, and (10) test the strategy to ensure that it is realistic and manageable. These recommendations may be of value for other disciplines where search infrastructures are not yet sufficiently well developed."," Data Accuracy; *Data Interpretation, Statistical; Data Mining/*methods; Ecology/*methods; Evidence-Based Medicine/methods; *Meta-Analysis as Topic; *Research Design; *Review Literature as Topic; data retrieval; ecology; literature review; literature search; systematic review",-2,,
258,Lortie,2015,Research synthesis methods,How to critically read ecological meta-analyses,"Meta-analysis offers ecologists a powerful tool for knowledge synthesis. Albeit a form of review, it also shares many similarities with primary empirical research. Consequently, critical reading of meta-analyses incorporates criteria from both sets of approaches particularly because ecology is a discipline that embraces heterogeneity and broad methodologies. The most important issues in critically assessing a meta-analysis initially include transparency, replicability, and clear statement of purpose by the authors. Specific to ecology, more so than other disciplines, tests of the same hypothesis are generally conducted at different study sites, have variable ecological contexts (i.e., seasonality), and use very different methods. Clear reporting and careful examination of heterogeneity in ecological meta-analyses is thus crucial. Ecologists often also test similar hypotheses with different species, and in these meta-analyses, the reader should expect exploration of phylogenetic dependencies. Finally, observational studies not only provide the substrate for potential current manipulative experiments in this discipline but also form an important body of literature historically for synthesis. Sensitivity analyses of observational versus manipulative experiments when aggregated in the same ecological meta-analysis are also frequent and appropriate. This brief conceptual review is not intended as an instrument to rate meta-analyses for ecologists but does provide the appropriate framing for those purposes and directs the reader to ongoing developments in this direction in other disciplines."," *Data Accuracy; *Data Interpretation, Statistical; Data Mining/*methods; Ecology/*methods; *Meta-Analysis as Topic; Reading; *Research Design; and synthesis; criteria; ecology; guidelines; interpretation; meta-analysis",-2,,
